Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Renata Gecan Milek,F,SBD,Raw,54,50-54,50-59,Masters 2,60.8,63,105,-110,110,,110,45,50,-54,,50,125,132.5,142.5,,142.5,302.5,1,332.56,333.82,294.90,67.76,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Valentina Velić,F,SBD,Raw,20,20-23,19-23,Juniors,74.6,76,140,145,-150,,145,62.5,67.5,-72.5,,67.5,155,162.5,-172.5,,162.5,375,1,366.28,357.69,314.71,74.59,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marino Katalinić,M,SBD,Raw,25.5,24-34,24-39,Open,119.5,120,250,265,272.5,,272.5,167.5,175,-177.5,,175,250,265,-275,,265,712.5,4,409.76,410.03,392.90,82.98,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Bojan Štetić,M,SBD,Raw,,,,Open,89.7,93,185,197.5,207.5,,207.5,102.5,107.5,112.5,,112.5,250,265,-280,,265,585,8,378.90,374.10,358.59,77.90,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ana Maleš,F,SBD,Raw,22,20-23,19-23,Juniors,68.9,69,95,102.5,107.5,,107.5,65,70,-75,,70,120,127.5,-135,,127.5,305,2,311.20,306.79,270.52,63.24,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Sanja Marina,F,SBD,Raw,34,24-34,24-39,Open,67,69,130,142.5,150,,150,62.5,67.5,72.5,,72.5,160,175,187.5,,187.5,410,3,425.11,420.70,371.16,86.38,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mirna Martinčić,F,SBD,Raw,29,24-34,24-39,Open,61.9,63,117.5,-122.5,-122.5,,117.5,55,57.5,60,,60,140,150,157.5,,157.5,335,5,364.21,364.63,322.04,74.14,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Fran Matijević,M,SBD,Raw,28,24-34,24-39,Open,101.5,105,-200,205,-212.5,,205,130,137.5,142.5,,142.5,220,240,252.5,,252.5,600,11,366.96,363.03,346.67,75.27,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Križan,M,B,Raw,19.5,20-23,19-23,Juniors,105.5,120,,,,,,132.5,140,-145,,140,,,,,,140,2,84.27,83.52,79.76,62.55,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Križan,M,SBD,Raw,19.5,20-23,19-23,Juniors,106.3,120,220,230,240,,240,132.5,-140,-140,,132.5,222.5,232.5,240,,240,612.5,1,367.59,364.45,348.06,75.19,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
